timestamp,resource,value,hostname
2026-01-01T00:00:00Z,memory_utilization_pct,50.58,prod-web-srv-01
2026-01-01T00:01:00Z,memory_utilization_pct,47.79,prod-web-srv-01
2026-01-01T00:02:00Z,memory_utilization_pct,49.44,prod-web-srv-01
2026-01-01T00:03:00Z,memory_utilization_pct,50.04,prod-web-srv-01
2026-01-01T00:04:00Z,memory_utilization_pct,49.42,prod-web-srv-01
2026-01-01T00:05:00Z,memory_utilization_pct,51.59,prod-web-srv-01
2026-01-01T00:06:00Z,memory_utilization_pct,49.8,prod-web-srv-01
2026-01-01T00:07:00Z,memory_utilization_pct,51.84,prod-web-srv-01
2026-01-01T00:08:00Z,memory_utilization_pct,50.96,prod-web-srv-01
2026-01-01T00:09:00Z,memory_utilization_pct,50.78,prod-web-srv-01
2026-01-01T00:10:00Z,memory_utilization_pct,52.55,prod-web-srv-01
2026-01-01T00:11:00Z,memory_utilization_pct,50.02,prod-web-srv-01
2026-01-01T00:12:00Z,memory_utilization_pct,51.98,prod-web-srv-01
2026-01-01T00:13:00Z,memory_utilization_pct,51.39,prod-web-srv-01
2026-01-01T00:14:00Z,memory_utilization_pct,50.34,prod-web-srv-01
2026-01-01T00:15:00Z,memory_utilization_pct,50.61,prod-web-srv-01
2026-01-01T00:16:00Z,memory_utilization_pct,49.99,prod-web-srv-01
2026-01-01T00:17:00Z,memory_utilization_pct,51.5,prod-web-srv-01
2026-01-01T00:18:00Z,memory_utilization_pct,51.21,prod-web-srv-01
2026-01-01T00:19:00Z,memory_utilization_pct,49.8,prod-web-srv-01
2026-01-01T00:20:00Z,memory_utilization_pct,48.98,prod-web-srv-01
2026-01-01T00:21:00Z,memory_utilization_pct,52.15,prod-web-srv-01
2026-01-01T00:22:00Z,memory_utilization_pct,49.19,prod-web-srv-01
2026-01-01T00:23:00Z,memory_utilization_pct,52.89,prod-web-srv-01
2026-01-01T00:24:00Z,memory_utilization_pct,50.99,prod-web-srv-01
2026-01-01T00:25:00Z,memory_utilization_pct,49.53,prod-web-srv-01
2026-01-01T00:26:00Z,memory_utilization_pct,51.43,prod-web-srv-01
2026-01-01T00:27:00Z,memory_utilization_pct,51.81,prod-web-srv-01
2026-01-01T00:28:00Z,memory_utilization_pct,50.46,prod-web-srv-01
2026-01-01T00:29:00Z,memory_utilization_pct,49.94,prod-web-srv-01
2026-01-01T00:30:00Z,memory_utilization_pct,50.75,prod-web-srv-01
2026-01-01T00:31:00Z,memory_utilization_pct,51.64,prod-web-srv-01
2026-01-01T00:32:00Z,memory_utilization_pct,52.92,prod-web-srv-01
2026-01-01T00:33:00Z,memory_utilization_pct,50.47,prod-web-srv-01
2026-01-01T00:34:00Z,memory_utilization_pct,51.02,prod-web-srv-01
2026-01-01T00:35:00Z,memory_utilization_pct,50.64,prod-web-srv-01
2026-01-01T00:36:00Z,memory_utilization_pct,51.87,prod-web-srv-01
2026-01-01T00:37:00Z,memory_utilization_pct,50.75,prod-web-srv-01
2026-01-01T00:38:00Z,memory_utilization_pct,50.75,prod-web-srv-01
2026-01-01T00:39:00Z,memory_utilization_pct,51.68,prod-web-srv-01
2026-01-01T00:40:00Z,memory_utilization_pct,50.9,prod-web-srv-01
2026-01-01T00:41:00Z,memory_utilization_pct,53.08,prod-web-srv-01
2026-01-01T00:42:00Z,memory_utilization_pct,52.83,prod-web-srv-01
2026-01-01T00:43:00Z,memory_utilization_pct,51.27,prod-web-srv-01
2026-01-01T00:44:00Z,memory_utilization_pct,51.19,prod-web-srv-01
2026-01-01T00:45:00Z,memory_utilization_pct,52.59,prod-web-srv-01
2026-01-01T00:46:00Z,memory_utilization_pct,51.86,prod-web-srv-01
2026-01-01T00:47:00Z,memory_utilization_pct,52.89,prod-web-srv-01
2026-01-01T00:48:00Z,memory_utilization_pct,52.29,prod-web-srv-01
2026-01-01T00:49:00Z,memory_utilization_pct,52.52,prod-web-srv-01
