timestamp,resource,value,hostname
2026-03-01T00:00:00Z,network_io_mbit_sec,405.74,prod-web-srv-01
2026-03-01T00:01:00Z,network_io_mbit_sec,407.52,prod-web-srv-01
2026-03-01T00:02:00Z,network_io_mbit_sec,392.58,prod-web-srv-01
2026-03-01T00:03:00Z,network_io_mbit_sec,404.52,prod-web-srv-01
2026-03-01T00:04:00Z,network_io_mbit_sec,412.31,prod-web-srv-01
2026-03-01T00:05:00Z,network_io_mbit_sec,400.61,prod-web-srv-01
2026-03-01T00:06:00Z,network_io_mbit_sec,423.8,prod-web-srv-01
2026-03-01T00:07:00Z,network_io_mbit_sec,424.38,prod-web-srv-01
2026-03-01T00:08:00Z,network_io_mbit_sec,411.85,prod-web-srv-01
2026-03-01T00:09:00Z,network_io_mbit_sec,411.93,prod-web-srv-01
2026-03-01T00:10:00Z,network_io_mbit_sec,413.32,prod-web-srv-01
2026-03-01T00:11:00Z,network_io_mbit_sec,405.62,prod-web-srv-01
2026-03-01T00:12:00Z,network_io_mbit_sec,401.03,prod-web-srv-01
2026-03-01T00:13:00Z,network_io_mbit_sec,421.38,prod-web-srv-01
2026-03-01T00:14:00Z,network_io_mbit_sec,413.76,prod-web-srv-01
2026-03-01T00:15:00Z,network_io_mbit_sec,418.87,prod-web-srv-01
2026-03-01T00:16:00Z,network_io_mbit_sec,425.25,prod-web-srv-01
2026-03-01T00:17:00Z,network_io_mbit_sec,418.56,prod-web-srv-01
2026-03-01T00:18:00Z,network_io_mbit_sec,431.12,prod-web-srv-01
2026-03-01T00:19:00Z,network_io_mbit_sec,446.71,prod-web-srv-01
2026-03-01T00:20:00Z,network_io_mbit_sec,425.5,prod-web-srv-01
2026-03-01T00:21:00Z,network_io_mbit_sec,428.11,prod-web-srv-01
2026-03-01T00:22:00Z,network_io_mbit_sec,439.25,prod-web-srv-01
2026-03-01T00:23:00Z,network_io_mbit_sec,434.84,prod-web-srv-01
2026-03-01T00:24:00Z,network_io_mbit_sec,438.98,prod-web-srv-01
2026-03-01T00:25:00Z,network_io_mbit_sec,430.64,prod-web-srv-01
2026-03-01T00:26:00Z,network_io_mbit_sec,433.72,prod-web-srv-01
2026-03-01T00:27:00Z,network_io_mbit_sec,442.72,prod-web-srv-01
2026-03-01T00:28:00Z,network_io_mbit_sec,432.89,prod-web-srv-01
2026-03-01T00:29:00Z,network_io_mbit_sec,450.62,prod-web-srv-01
2026-03-01T00:30:00Z,network_io_mbit_sec,438.34,prod-web-srv-01
2026-03-01T00:31:00Z,network_io_mbit_sec,446.5,prod-web-srv-01
2026-03-01T00:32:00Z,network_io_mbit_sec,420.11,prod-web-srv-01
2026-03-01T00:33:00Z,network_io_mbit_sec,444.41,prod-web-srv-01
2026-03-01T00:34:00Z,network_io_mbit_sec,424.88,prod-web-srv-01
2026-03-01T00:35:00Z,network_io_mbit_sec,436.39,prod-web-srv-01
2026-03-01T00:36:00Z,network_io_mbit_sec,458.01,prod-web-srv-01
2026-03-01T00:37:00Z,network_io_mbit_sec,454.0,prod-web-srv-01
2026-03-01T00:38:00Z,network_io_mbit_sec,436.63,prod-web-srv-01
2026-03-01T00:39:00Z,network_io_mbit_sec,453.46,prod-web-srv-01
2026-03-01T00:40:00Z,network_io_mbit_sec,459.21,prod-web-srv-01
2026-03-01T00:41:00Z,network_io_mbit_sec,454.92,prod-web-srv-01
2026-03-01T00:42:00Z,network_io_mbit_sec,450.43,prod-web-srv-01
2026-03-01T00:43:00Z,network_io_mbit_sec,452.0,prod-web-srv-01
2026-03-01T00:44:00Z,network_io_mbit_sec,458.45,prod-web-srv-01
2026-03-01T00:45:00Z,network_io_mbit_sec,464.35,prod-web-srv-01
2026-03-01T00:46:00Z,network_io_mbit_sec,460.15,prod-web-srv-01
2026-03-01T00:47:00Z,network_io_mbit_sec,470.66,prod-web-srv-01
2026-03-01T00:48:00Z,network_io_mbit_sec,479.37,prod-web-srv-01
2026-03-01T00:49:00Z,network_io_mbit_sec,482.22,prod-web-srv-01
2026-03-01T00:50:00Z,network_io_mbit_sec,461.47,prod-web-srv-01
2026-03-01T00:51:00Z,network_io_mbit_sec,466.15,prod-web-srv-01
2026-03-01T00:52:00Z,network_io_mbit_sec,467.98,prod-web-srv-01
